pcd_a,pcd_b,score,decision
0231,0232,0.3657,MANUAL
0232,0233,0.6658,AUTO_SAME
0233,0234,0.6631,AUTO_SAME
0234,0235,0.0128,AUTO_DIFFERENT
0235,0236,,MANUAL
0236,0237,,MANUAL
0237,0238,,MANUAL
0238,0239,,MANUAL
0239,0240,0.6050,AUTO_SAME
0240,0241,0.6681,AUTO_SAME
0241,0242,0.7005,AUTO_SAME
0242,0243,0.4671,AUTO_SAME
0243,0244,0.2455,MANUAL
0244,0245,0.3095,MANUAL
0245,0246,0.5048,AUTO_SAME
0246,0247,,MANUAL
0247,0248,,MANUAL
0248,0249,0.6087,AUTO_SAME
0249,0250,0.6604,AUTO_SAME
0250,0251,0.5937,AUTO_SAME
0251,0252,0.5306,AUTO_SAME
0252,0253,0.5630,AUTO_SAME
0253,0254,0.3815,MANUAL
0254,0255,0.6729,AUTO_SAME
0255,0256,0.0217,AUTO_DIFFERENT
0256,0257,0.8717,AUTO_SAME
0257,0258,0.9539,AUTO_SAME
0258,0259,0.8820,AUTO_SAME
0259,0260,0.0457,AUTO_DIFFERENT
0260,0261,0.7850,AUTO_SAME
0261,0262,0.5116,AUTO_SAME
0262,0263,0.3182,MANUAL
0263,0264,0.0268,AUTO_DIFFERENT
0264,0265,0.7280,AUTO_SAME
0265,0266,0.4555,AUTO_SAME
0266,0267,0.7700,AUTO_SAME
0267,0268,0.2519,MANUAL
0268,0269,0.7646,AUTO_SAME
0269,0270,0.9041,AUTO_SAME
0270,0271,0.8477,AUTO_SAME
0271,0272,0.4732,AUTO_SAME
0272,0273,0.8309,AUTO_SAME
0273,0274,0.7425,AUTO_SAME
0274,0275,0.7601,AUTO_SAME
0275,0276,0.8258,AUTO_SAME
0276,0277,0.6693,AUTO_SAME
0277,0278,0.8692,AUTO_SAME
0278,0279,0.7701,AUTO_SAME
0279,0280,0.1761,MANUAL
0280,0281,0.7018,AUTO_SAME
0281,0282,0.7404,AUTO_SAME
0282,0283,0.8588,AUTO_SAME
0283,0284,,MANUAL
0284,0285,,MANUAL
0285,0286,,MANUAL
0286,0287,,MANUAL
0287,0288,0.2585,MANUAL
0288,0289,0.1967,MANUAL
0289,0290,0.1439,AUTO_DIFFERENT
0290,0291,0.7241,AUTO_SAME
0291,0292,0.2208,MANUAL
0292,0293,0.4699,AUTO_SAME
0293,0294,0.3139,MANUAL
0294,0295,0.7847,AUTO_SAME
0295,0296,0.1442,AUTO_DIFFERENT
0296,0297,0.9479,AUTO_SAME
0297,0298,0.9121,AUTO_SAME
0298,0299,0.0128,AUTO_DIFFERENT
0299,0300,0.0294,AUTO_DIFFERENT
0300,0301,0.7938,AUTO_SAME
0301,0302,0.5832,AUTO_SAME
0302,0303,0.4843,AUTO_SAME
0303,0304,0.4364,AUTO_SAME
0304,0305,0.7233,AUTO_SAME
0305,0306,0.2125,MANUAL
0306,0307,0.4993,AUTO_SAME
0307,0308,,MANUAL
0308,0309,,MANUAL
0309,0310,0.2938,MANUAL
0310,0311,0.2280,MANUAL
0311,0312,0.0058,AUTO_DIFFERENT
0312,0313,0.5964,AUTO_SAME
0313,0314,0.6415,AUTO_SAME
0314,0315,0.8429,AUTO_SAME
0315,0316,0.0021,AUTO_DIFFERENT
0316,0317,0.1215,AUTO_DIFFERENT
0317,0318,0.4324,AUTO_SAME
0318,0319,0.6224,AUTO_SAME
0319,0320,0.0088,AUTO_DIFFERENT
0320,0321,0.7746,AUTO_SAME
0321,0322,0.3903,MANUAL
0322,0323,,MANUAL
0323,0324,,MANUAL
0324,0325,0.1096,AUTO_DIFFERENT
0325,0326,,MANUAL
0326,0327,,MANUAL
0327,0328,0.3953,MANUAL
0328,0329,0.3972,MANUAL
0329,0330,0.7135,AUTO_SAME
0330,0331,0.0295,AUTO_DIFFERENT
0331,0332,0.4955,AUTO_SAME
0332,0333,0.8041,AUTO_SAME
0333,0334,0.6099,AUTO_SAME
0334,0335,0.1925,MANUAL
0335,0336,0.7534,AUTO_SAME
0336,0337,0.7284,AUTO_SAME
0337,0338,0.5684,AUTO_SAME
0338,0339,0.0384,AUTO_DIFFERENT
0339,0340,0.8733,AUTO_SAME
0340,0341,0.8555,AUTO_SAME
0341,0342,0.9432,AUTO_SAME
0342,0343,0.1238,AUTO_DIFFERENT
0343,0344,0.8727,AUTO_SAME
0344,0345,0.5466,AUTO_SAME
0345,0346,,MANUAL
0346,0347,,MANUAL
0347,0348,0.9258,AUTO_SAME
0348,0349,0.8350,AUTO_SAME
0349,0350,0.7100,AUTO_SAME
0350,0351,0.0154,AUTO_DIFFERENT
0351,0352,0.4394,AUTO_SAME
0352,0353,0.0333,AUTO_DIFFERENT
0353,0354,0.9031,AUTO_SAME
0354,0355,0.0312,AUTO_DIFFERENT
0355,0356,0.8287,AUTO_SAME
0356,0357,0.5410,AUTO_SAME
0357,0358,0.6457,AUTO_SAME
0358,0359,0.6073,AUTO_SAME
0359,0360,0.6320,AUTO_SAME
0360,0361,0.4282,AUTO_SAME
0361,0362,0.7896,AUTO_SAME
0362,0363,0.2218,MANUAL
0363,0364,0.6985,AUTO_SAME
0364,0365,0.3115,MANUAL
0365,0366,0.8019,AUTO_SAME
0366,0367,0.1850,MANUAL
0367,0368,0.5193,AUTO_SAME
0368,0369,0.1850,MANUAL
0369,0370,0.7595,AUTO_SAME
0370,0371,0.1675,MANUAL
0371,0372,0.8882,AUTO_SAME
0372,0373,0.5790,AUTO_SAME
0373,0374,0.7703,AUTO_SAME
0374,0375,0.0119,AUTO_DIFFERENT
0375,0376,0.8111,AUTO_SAME
0376,0377,0.7060,AUTO_SAME
0377,0378,0.5449,AUTO_SAME
0378,0379,0.6862,AUTO_SAME
0379,0380,0.8119,AUTO_SAME
0380,0381,0.9337,AUTO_SAME
0381,0382,0.8799,AUTO_SAME
0382,0383,0.7530,AUTO_SAME
0383,0384,0.9414,AUTO_SAME
0384,0385,0.9447,AUTO_SAME
0385,0386,0.8586,AUTO_SAME
0386,0387,0.0035,AUTO_DIFFERENT
0387,0388,0.0834,AUTO_DIFFERENT
0388,0389,0.0093,AUTO_DIFFERENT
0389,0390,0.9076,AUTO_SAME
0390,0391,0.7430,AUTO_SAME
0391,0392,0.8297,AUTO_SAME
0392,0393,0.1504,MANUAL
0393,0394,0.2940,MANUAL
0394,0395,0.4416,AUTO_SAME
0395,0396,0.1721,MANUAL
0396,0397,0.5678,AUTO_SAME
0397,0398,0.8847,AUTO_SAME
0398,0399,0.0372,AUTO_DIFFERENT
0399,0400,0.7816,AUTO_SAME
0400,0401,0.7935,AUTO_SAME
0401,0402,0.7031,AUTO_SAME
0402,0403,0.6476,AUTO_SAME
0403,0404,0.6921,AUTO_SAME
0404,0405,0.6917,AUTO_SAME
0405,0406,0.9083,AUTO_SAME
0406,0407,0.3921,MANUAL
0407,0408,0.7941,AUTO_SAME
0408,0409,0.6613,AUTO_SAME
0409,0410,0.8592,AUTO_SAME
0410,0411,0.7555,AUTO_SAME
0411,0412,0.5041,AUTO_SAME
0412,0413,0.3544,MANUAL
0413,0414,0.6181,AUTO_SAME
0414,0415,0.6447,AUTO_SAME
0415,0416,0.5827,AUTO_SAME
0416,0417,0.5044,AUTO_SAME
0417,0418,0.3313,MANUAL
0418,0419,0.4452,AUTO_SAME
0419,0420,0.5449,AUTO_SAME
0420,0421,0.5742,AUTO_SAME
0421,0422,0.8346,AUTO_SAME
0422,0423,0.6041,AUTO_SAME
0423,0424,0.8058,AUTO_SAME
0424,0425,0.3217,MANUAL
0425,0426,0.3749,MANUAL
0426,0427,0.3878,MANUAL
0427,0428,0.6795,AUTO_SAME
0428,0429,0.4045,MANUAL
0429,0430,0.5531,AUTO_SAME
0430,0431,0.0154,AUTO_DIFFERENT
0431,0432,,MANUAL
0432,0433,,MANUAL
0433,0434,,MANUAL
0434,0435,,MANUAL
0435,0436,0.2128,MANUAL
0436,0437,0.4353,AUTO_SAME
0437,0438,0.4072,MANUAL
0438,0439,0.0104,AUTO_DIFFERENT
0439,0440,0.8127,AUTO_SAME
0440,0441,0.3837,MANUAL
0441,0442,0.3529,MANUAL
0442,0443,0.3452,MANUAL
0443,0444,0.7349,AUTO_SAME
0444,0445,0.7131,AUTO_SAME
0445,0446,0.7582,AUTO_SAME
0446,0447,0.2790,MANUAL
0447,0448,0.7792,AUTO_SAME
0448,0449,0.8577,AUTO_SAME
0449,0450,0.5363,AUTO_SAME
0450,0451,0.3149,MANUAL
0451,0452,0.6631,AUTO_SAME
0452,0453,0.5198,AUTO_SAME
0453,0454,0.5846,AUTO_SAME
0454,0455,0.4479,AUTO_SAME
0455,0456,0.4334,AUTO_SAME
0456,0457,0.7781,AUTO_SAME
0457,0458,0.8757,AUTO_SAME
0458,0459,0.1344,AUTO_DIFFERENT
0459,0460,0.3579,MANUAL
0460,0461,0.5486,AUTO_SAME
0461,0462,0.5335,AUTO_SAME
0462,0463,0.1554,MANUAL
0463,0464,0.7112,AUTO_SAME
0464,0465,0.7865,AUTO_SAME
0465,0466,0.5693,AUTO_SAME
0466,0467,0.3887,MANUAL
0467,0468,0.7306,AUTO_SAME
0468,0469,0.6547,AUTO_SAME
0469,0470,0.7995,AUTO_SAME
0470,0471,0.1328,AUTO_DIFFERENT
0471,0472,0.0640,AUTO_DIFFERENT
0472,0473,0.0953,AUTO_DIFFERENT
0473,0474,0.6004,AUTO_SAME
0474,0475,0.0198,AUTO_DIFFERENT
0475,0476,0.8205,AUTO_SAME
0476,0477,0.9112,AUTO_SAME
0477,0478,0.7779,AUTO_SAME
0478,0479,0.0015,AUTO_DIFFERENT
0479,0480,,MANUAL
0480,0481,,MANUAL
0481,0482,0.5866,AUTO_SAME
0482,0483,0.6612,AUTO_SAME
0483,0484,0.6995,AUTO_SAME
0484,0485,0.2245,MANUAL
0485,0486,0.7714,AUTO_SAME
0486,0487,0.8441,AUTO_SAME
0487,0488,0.4585,AUTO_SAME
0488,0489,0.0220,AUTO_DIFFERENT
0489,0490,0.7492,AUTO_SAME
0490,0491,0.8884,AUTO_SAME
0491,0492,0.5473,AUTO_SAME
0492,0493,0.5297,AUTO_SAME
0493,0494,0.8567,AUTO_SAME
0494,0495,0.8247,AUTO_SAME
0495,0496,0.6706,AUTO_SAME
0496,0497,0.0633,AUTO_DIFFERENT
0497,0498,0.4437,AUTO_SAME
0498,0499,0.4045,MANUAL
0499,0500,0.2380,MANUAL
0500,0501,0.0619,AUTO_DIFFERENT
0501,0502,0.8314,AUTO_SAME
0502,0503,0.7653,AUTO_SAME
0503,0504,0.7290,AUTO_SAME
0504,0505,0.3629,MANUAL
0505,0506,0.7604,AUTO_SAME
0506,0507,0.6236,AUTO_SAME
0507,0508,0.3629,MANUAL
0508,0509,0.1117,AUTO_DIFFERENT
0509,0510,0.4320,AUTO_SAME
0510,0511,0.5297,AUTO_SAME
0511,0512,0.6026,AUTO_SAME
0512,0513,0.0785,AUTO_DIFFERENT
0513,0514,0.7951,AUTO_SAME
0514,0515,0.5178,AUTO_SAME
0515,0516,0.7735,AUTO_SAME
0516,0517,0.0295,AUTO_DIFFERENT
0517,0518,0.7874,AUTO_SAME
0518,0519,0.5161,AUTO_SAME
0519,0520,0.4736,AUTO_SAME
0520,0521,0.4282,AUTO_SAME
0521,0522,0.0774,AUTO_DIFFERENT
0522,0523,0.1653,MANUAL
0523,0524,0.0555,AUTO_DIFFERENT
0524,0525,0.0063,AUTO_DIFFERENT
0525,0526,0.9133,AUTO_SAME
0526,0527,0.8679,AUTO_SAME
0527,0528,0.8545,AUTO_SAME
0528,0529,0.5942,AUTO_SAME
0529,0530,0.4594,AUTO_SAME
0530,0531,0.4798,AUTO_SAME
0531,0532,0.2855,MANUAL
0532,0533,0.0337,AUTO_DIFFERENT
0533,0534,0.3286,MANUAL
0534,0535,0.6915,AUTO_SAME
0535,0536,0.5765,AUTO_SAME
0536,0537,0.4794,AUTO_SAME
0537,0538,0.6770,AUTO_SAME
0538,0539,0.0925,AUTO_DIFFERENT
0539,0540,0.4947,AUTO_SAME
0540,0541,0.5703,AUTO_SAME
0541,0542,0.0182,AUTO_DIFFERENT
0542,0543,0.7387,AUTO_SAME
0543,0544,0.8274,AUTO_SAME
0544,0545,0.8001,AUTO_SAME
0545,0546,0.1593,MANUAL
0546,0547,0.3838,MANUAL
0547,0548,0.4797,AUTO_SAME
0548,0549,0.6381,AUTO_SAME
0549,0550,0.0942,AUTO_DIFFERENT
0550,0551,0.1834,MANUAL
0551,0552,0.4048,MANUAL
0552,0553,0.5238,AUTO_SAME
0553,0554,0.0265,AUTO_DIFFERENT
0554,0555,0.5050,AUTO_SAME
0555,0556,0.3029,MANUAL
0556,0557,0.6740,AUTO_SAME
0557,0558,0.7394,AUTO_SAME
0558,0559,0.7171,AUTO_SAME
0559,0560,0.4622,AUTO_SAME
0560,0561,0.4281,AUTO_SAME
0561,0562,0.0147,AUTO_DIFFERENT
0562,0563,0.9538,AUTO_SAME
0563,0564,0.3539,MANUAL
0564,0565,0.3293,MANUAL
0565,0566,0.0262,AUTO_DIFFERENT
0566,0567,0.3258,MANUAL
0567,0568,0.4194,MANUAL
0568,0569,0.8979,AUTO_SAME
0569,0570,0.0000,AUTO_DIFFERENT
0570,0571,0.1833,MANUAL
0571,0572,0.2899,MANUAL
0572,0573,0.8053,AUTO_SAME
0573,0574,0.0018,AUTO_DIFFERENT
0574,0575,0.4138,MANUAL
0575,0576,0.3232,MANUAL
0576,0577,0.8987,AUTO_SAME
0577,0578,0.0111,AUTO_DIFFERENT
0578,0579,0.8147,AUTO_SAME
0579,0580,0.7682,AUTO_SAME
0580,0581,0.7940,AUTO_SAME
0581,0582,0.6381,AUTO_SAME
0582,0583,0.8298,AUTO_SAME
0583,0584,0.8867,AUTO_SAME
0584,0585,0.7111,AUTO_SAME
0585,0586,0.0730,AUTO_DIFFERENT
0586,0587,0.9079,AUTO_SAME
0587,0588,0.6357,AUTO_SAME
0588,0589,0.4573,AUTO_SAME
0589,0590,0.0867,AUTO_DIFFERENT
0590,0591,0.7822,AUTO_SAME
0591,0592,0.7808,AUTO_SAME
0592,0593,0.6647,AUTO_SAME
0593,0594,0.1010,AUTO_DIFFERENT
0594,0595,0.8512,AUTO_SAME
0595,0596,0.5127,AUTO_SAME
0596,0597,0.7593,AUTO_SAME
0597,0598,0.3158,MANUAL
0598,0599,0.2871,MANUAL
0599,0600,0.7635,AUTO_SAME
0600,0601,0.8195,AUTO_SAME
0601,0602,0.2813,MANUAL
0602,0603,0.7589,AUTO_SAME
0603,0604,0.4190,MANUAL
0604,0605,0.7179,AUTO_SAME
0605,0606,0.1106,AUTO_DIFFERENT
0606,0607,0.4255,AUTO_SAME
0607,0608,0.5272,AUTO_SAME
0608,0609,0.1450,AUTO_DIFFERENT
0609,0610,0.3444,MANUAL
0610,0611,0.3753,MANUAL
0611,0612,0.7419,AUTO_SAME
0612,0613,0.3315,MANUAL
0613,0614,0.1970,MANUAL
0614,0615,0.8346,AUTO_SAME
0615,0616,0.5936,AUTO_SAME
0616,0617,0.2222,MANUAL
0617,0618,0.0089,AUTO_DIFFERENT
0618,0619,0.3407,MANUAL
0619,0620,0.1071,AUTO_DIFFERENT
0620,0621,0.2982,MANUAL
0621,0622,0.0036,AUTO_DIFFERENT
0622,0623,0.2196,MANUAL
0623,0624,0.1406,AUTO_DIFFERENT
0624,0625,0.0235,AUTO_DIFFERENT
0625,0626,0.0205,AUTO_DIFFERENT
0626,0627,0.0113,AUTO_DIFFERENT
0627,0628,0.0319,AUTO_DIFFERENT
0628,0629,0.1879,MANUAL
0629,0630,0.1105,AUTO_DIFFERENT
0630,0631,0.2451,MANUAL
0631,0632,0.1192,AUTO_DIFFERENT
0632,0633,0.1574,MANUAL
0633,0634,0.6837,AUTO_SAME
0634,0635,0.4104,MANUAL
0635,0636,0.3276,MANUAL
0636,0637,0.4603,AUTO_SAME
0637,0638,0.3735,MANUAL
0638,0639,0.2413,MANUAL
0639,0640,0.8307,AUTO_SAME
0640,0641,0.1182,AUTO_DIFFERENT
0641,0642,0.7745,AUTO_SAME
0642,0643,0.4788,AUTO_SAME
0643,0644,0.4103,MANUAL
0644,0645,0.1289,AUTO_DIFFERENT
0645,0646,0.3268,MANUAL
0646,0647,0.6752,AUTO_SAME
0647,0648,0.3255,MANUAL
0648,0649,0.0193,AUTO_DIFFERENT
0649,0650,0.5464,AUTO_SAME
0650,0651,0.0126,AUTO_DIFFERENT
0651,0652,0.7129,AUTO_SAME
0652,0653,0.0220,AUTO_DIFFERENT
0653,0654,0.6652,AUTO_SAME
0654,0655,0.4178,MANUAL
0655,0656,0.6423,AUTO_SAME
0656,0657,0.3000,MANUAL
0657,0658,0.7128,AUTO_SAME
0658,0659,0.5344,AUTO_SAME
0659,0660,0.6865,AUTO_SAME
0660,0661,0.0605,AUTO_DIFFERENT
0661,0662,0.6619,AUTO_SAME
0662,0663,0.3565,MANUAL
0663,0664,0.7148,AUTO_SAME
0664,0665,0.1671,MANUAL
0665,0666,0.5204,AUTO_SAME
0666,0667,0.4517,AUTO_SAME
0667,0668,0.6617,AUTO_SAME
0668,0669,0.0285,AUTO_DIFFERENT
0669,0670,0.6588,AUTO_SAME
0670,0671,0.6686,AUTO_SAME
0671,0672,0.0127,AUTO_DIFFERENT
0672,0673,0.6044,AUTO_SAME
0673,0674,0.5123,AUTO_SAME
0674,0675,0.0031,AUTO_DIFFERENT
0675,0676,0.6258,AUTO_SAME
0676,0677,0.6793,AUTO_SAME
0677,0678,,MANUAL
0678,0679,,MANUAL
0679,0680,0.3605,MANUAL
0680,0681,0.0915,AUTO_DIFFERENT
0681,0682,0.4530,AUTO_SAME
0682,0683,0.0041,AUTO_DIFFERENT
0683,0684,0.0181,AUTO_DIFFERENT
0684,0685,0.1142,AUTO_DIFFERENT
0685,0686,,MANUAL
0686,0687,,MANUAL
0687,0688,0.2794,MANUAL
0688,0689,0.5474,AUTO_SAME
0689,0690,0.8485,AUTO_SAME
0690,0691,0.4597,AUTO_SAME
0691,0692,0.6678,AUTO_SAME
0692,0693,0.3624,MANUAL
0693,0694,0.2679,MANUAL
0694,0695,0.2077,MANUAL
0695,0696,0.4552,AUTO_SAME
0696,0697,0.4645,AUTO_SAME
0697,0698,0.4393,AUTO_SAME
0698,0699,0.1112,AUTO_DIFFERENT
0699,0700,0.1969,MANUAL
0700,0701,0.1946,MANUAL
0701,0702,0.2040,MANUAL
0702,0703,0.0799,AUTO_DIFFERENT
0703,0704,,MANUAL
0704,0705,,MANUAL
0705,0706,0.6302,AUTO_SAME
0706,0707,0.5766,AUTO_SAME
0707,0708,0.5782,AUTO_SAME
0708,0709,0.4505,AUTO_SAME
0709,0710,0.5360,AUTO_SAME
0710,0711,0.1322,AUTO_DIFFERENT
0711,0712,0.5775,AUTO_SAME
0712,0713,0.6233,AUTO_SAME
0713,0714,0.3264,MANUAL
0714,0715,0.0882,AUTO_DIFFERENT
0715,0716,0.7500,AUTO_SAME
0716,0717,0.5111,AUTO_SAME
0717,0718,0.6395,AUTO_SAME
0718,0719,0.0142,AUTO_DIFFERENT
0719,0720,0.4270,AUTO_SAME
0720,0721,0.3640,MANUAL
0721,0722,0.4665,AUTO_SAME
0722,0723,0.2498,MANUAL
0723,0724,0.9256,AUTO_SAME
0724,0725,0.9211,AUTO_SAME
0725,0726,0.9052,AUTO_SAME
0726,0727,0.0008,AUTO_DIFFERENT
0727,0728,,MANUAL
0728,0729,,MANUAL
0729,0730,,MANUAL
0730,0731,0.0011,AUTO_DIFFERENT
0731,0732,0.9105,AUTO_SAME
0732,0733,0.9488,AUTO_SAME
0733,0734,0.9203,AUTO_SAME
0734,0735,0.0638,AUTO_DIFFERENT
0735,0736,0.7990,AUTO_SAME
0736,0737,0.6703,AUTO_SAME
0737,0738,0.8508,AUTO_SAME
0738,0739,0.1143,AUTO_DIFFERENT
0739,0740,0.8877,AUTO_SAME
0740,0741,0.9445,AUTO_SAME
0741,0742,0.8510,AUTO_SAME
0742,0743,0.1311,AUTO_DIFFERENT
0743,0744,0.4581,AUTO_SAME
0744,0745,0.2391,MANUAL
0745,0746,0.8389,AUTO_SAME
0746,0747,0.2217,MANUAL
0747,0748,0.6744,AUTO_SAME
0748,0749,0.4234,AUTO_SAME
0749,0750,0.6500,AUTO_SAME
0750,0751,0.3070,MANUAL
0751,0752,0.4871,AUTO_SAME
0752,0753,0.3795,MANUAL
0753,0754,0.7104,AUTO_SAME
0754,0755,0.1033,AUTO_DIFFERENT
0755,0756,0.7072,AUTO_SAME
0756,0757,0.6303,AUTO_SAME
0757,0758,0.5517,AUTO_SAME
0758,0759,0.2370,MANUAL
0759,0760,0.7601,AUTO_SAME
0760,0761,0.4322,AUTO_SAME
0761,0762,0.4425,AUTO_SAME
0762,0763,0.2940,MANUAL
0763,0764,0.3978,MANUAL
0764,0765,0.4147,MANUAL
0765,0766,0.6986,AUTO_SAME
0766,0767,0.0723,AUTO_DIFFERENT
0767,0768,0.5785,AUTO_SAME
0768,0769,0.6171,AUTO_SAME
0769,0770,0.3977,MANUAL
0770,0771,0.1612,MANUAL
0771,0772,,MANUAL
0772,0773,,MANUAL
0773,0774,0.2408,MANUAL
0774,0775,0.0853,AUTO_DIFFERENT
0775,0776,0.3166,MANUAL
0776,0777,0.7803,AUTO_SAME
0777,0778,,MANUAL
0778,0779,,MANUAL
0779,0780,0.1750,MANUAL
0780,0781,0.4439,AUTO_SAME
0781,0782,0.3685,MANUAL
0782,0783,0.1281,AUTO_DIFFERENT
0783,0784,0.2800,MANUAL
0784,0785,0.5230,AUTO_SAME
0785,0786,0.7435,AUTO_SAME
0786,0787,0.0680,AUTO_DIFFERENT
0787,0788,0.7661,AUTO_SAME
0788,0789,0.6273,AUTO_SAME
0789,0790,0.8005,AUTO_SAME
0790,0791,0.0315,AUTO_DIFFERENT
0791,0792,0.6004,AUTO_SAME
0792,0793,0.7400,AUTO_SAME
0793,0794,0.6388,AUTO_SAME
0794,0795,0.0878,AUTO_DIFFERENT
0795,0796,0.9563,AUTO_SAME
0796,0797,,MANUAL
0797,0798,,MANUAL
0798,0799,,MANUAL
0799,0800,,MANUAL
0800,0801,,MANUAL
0801,0802,0.2649,MANUAL
0802,0803,0.7198,AUTO_SAME
0803,0804,0.0182,AUTO_DIFFERENT
0804,0805,0.7373,AUTO_SAME
0805,0806,0.7570,AUTO_SAME
0806,0807,0.7974,AUTO_SAME
0807,0808,0.0229,AUTO_DIFFERENT
0808,0809,0.8639,AUTO_SAME
0809,0810,0.7536,AUTO_SAME
0810,0811,0.6357,AUTO_SAME
0811,0812,0.0809,AUTO_DIFFERENT
0812,0813,0.6539,AUTO_SAME
0813,0814,0.6216,AUTO_SAME
0814,0815,0.7415,AUTO_SAME
